Table 1
اون لاين,زيارة منزلية,العيادة,الكود,اسم مقدم الخدمة,المحافظة,المنطقة,الخدمة,الدرجة العلمية,التخصص,الفروع,العنوان,تليفون1,واتساب,تليفون2,مواعيد اون لاين,مواعيد العيادة,سعر الكشف,نسبة خصم كشف الاون لاين,نسبة خصم كشف العيادة,الزيارة المنزلية,الاسعار,نسبة خصم الاسعر,الاتعاب الادارية,تاريخ التنشيط,الرقم الخاص,مسؤول التعاقد,التليفون,الموقع,
No,Home care,Offline,1-1,مركز النيل للاشعة والتحاليل,الجيزة,المهندسين,مركز اشعة وتحاليل,تحاليل,تحاليل,فرع,74ش جامعة الدول ا لعربية,19657,,,,,,,,,اسعار خاصة,0.25,0.1,6/24/24,,دكتور كريم,01125620601,,
No,Home care,Offline,1-1,مركز النيل للاشعة والتحاليل,الجيزة,المهندسين,مركز اشعة وتحاليل,اشعة وتحاليل,اشعة وتحاليل,فرع,12ش لبنان اعلى اديداس,19657,,,,,,,,,اسعار خاصة,0.25,0.1,6/24/24,,دكتور كريم,01125620601,,
No,Home care,Offline,1-1,مركز النيل للاشعة والتحاليل,الجيزة,المقطم,مركز اشعة وتحاليل,تحاليل,تحاليل,فرع,476 شارع ٩ - بجوار النصر الرياضى - الدور الاول - المقطم,19657,,,,,,,,,اسعار خاصة,0.25,0.1,6/24/24,,دكتور كريم,01125620601,,
No,Home care,Offline,1-1,مركز النيل للاشعة والتحاليل,الجيزة,الشيخ زايد,مركز اشعة وتحاليل,اشعة وتحاليل,اشعة وتحاليل,فرع,مدخل 2 بجوار مستشفى الشيخ زايد التخصصي امام مول الداون تاون,19657,,,,,,,,,اسعار خاصة,0.25,0.1,6/24/24,,دكتور كريم,01125620601,,
No,Home care,Offline,1-1,مركز النيل للاشعة والتحاليل,الجيزة,الدقى,مركز اشعة وتحاليل,تحاليل,تحاليل,فرع,54شارع مصدق – بجوار بنك عوده - الدقى - الدور الاول,19657,,,,,,,,,اسعار خاصة,0.25,0.1,6/24/24,,دكتور كريم,01125620601,,
No,Home care,Offline,1-1,مركز النيل للاشعة والتحاليل,الجيزة,الدقى,مركز اشعة وتحاليل,اشعة وتحاليل,اشعة وتحاليل,فرع,59شارع مصدق – الدقي – الدور الاول,19657,,,,,,,,,اسعار خاصة,0.25,0.1,6/24/24,,دكتور كريم,01125620601,,
No,Home care,Offline,1-1,مركز النيل للاشعة والتحاليل,الجيزة,اكتوبر,مركز اشعة وتحاليل,تحاليل,تحاليل,فرع,برج 3 - الدور 2 – ابراج البرعي بلازا – المحور المركزي – ميدان الحصري,19657,,,,,,,,,اسعار خاصة,0.25,0.1,6/24/24,,دكتور كريم,01125620601,,
No,Home care,Offline,1-1,مركز النيل للاشعة والتحاليل,الجيزة,اكتوبر,مركز اشعة وتحاليل,اشعة وتحاليل,اشعة وتحاليل,فرع,مجمع رفيدة الطبي – مدخل زايد 2000 – بجوار هيئة المجتمعات العمرانية,19657,,,,,,,,,اسعار خاصة,0.25,0.1,6/24/24,,دكتور كريم,01125620601,,
No,Home care,Offline,1-1,مركز النيل للاشعة والتحاليل,الاسكندرية,الاسكندرية,مركز اشعة وتحاليل,اشعة وتحاليل,اشعة وتحاليل,فرع,59ش صفيه زغلول – محطة الرمل- برج اليكس تاور التجارى,19657,,,,,,,,,اسعار خاصة,0.25,0.1,6/24/24,,دكتور كريم,01125620601,,
No,Home care,Offline,1,مركز النيل للاشعة والتحاليل,القاهرة,المعادى,مركز اشعة وتحاليل,اشعة وتحاليل,اشعة وتحاليل,المقر الرئيسى,ميدان المحطة مبنى المعادي بالاس شارع 9 – بجوار محطة مترو المعادي,19657,,,,,,,,,اسعار خاصة,0.25,0.1,6/24/24,,دكتور كريم,01125620601,,
No,Home care,Offline,1-1,مركز الطاهرة للأشعة,المنيا,المنيا الجديدة,مركز اشعة وتحاليل,اشعة وتحاليل,اشعة وتحاليل,فرع,مول سيتى سكيب الدور الارضى - المنيا الجديدة,19173,01222504012اشعة,01200111937تحاليل ,,,,,,,اسعار خاصة,"خصم 20% على خدمات الأشعة غير شامل الصبغات 
خصم 30% على التحاليل الطبية 
خصم 10% على المسح الذرى على الجسم كلة وجرعات اليود المشع 
خصم 10% على الأشاعات التداخلية والمناظير",0.05,7/1/24,,محمد صبحى ,01273301055,,
No,Home care,Offline,1-1,مركز الطاهرة للأشعة,القاهرة,مصر الجديدة,مركز اشعة وتحاليل,اشعة وتحاليل,اشعة وتحاليل,فرع,87ش المقريزي متفرع من ش الخليفة المأمون - روكسي,19173,01222504012اشعة,01200111937تحاليل ,,,,,,,اسعار خاصة,"خصم 20% على خدمات الأشعة غير شامل الصبغات 
خصم 30% على التحاليل الطبية 
خصم 10% على المسح الذرى على الجسم كلة وجرعات اليود المشع 
خصم 10% على الأشاعات التداخلية والمناظير",0.05,7/1/24,,محمد صبحى ,01273301055,,
No,Home care,Offline,1-1,مركز الطاهرة للأشعة,القاهرة,المقطم,مركز اشعة وتحاليل,اشعة وتحاليل,اشعة وتحاليل,فرع,مجمع عيادات شارع 9 امام مسجد القدس,19173,01222504012اشعة,01200111937تحاليل ,,,,,,,اسعار خاصة,"خصم 20% على خدمات الأشعة غير شامل الصبغات 
خصم 30% على التحاليل الطبية 
خصم 10% على المسح الذرى على الجسم كلة وجرعات اليود المشع 
خصم 10% على الأشاعات التداخلية والمناظير",0.05,7/1/24,,محمد صبحى ,01273301055,,
No,Home care,Offline,1-1,مركز الطاهرة للأشعة,الدقهلية,ميت غمر,مركز اشعة وتحاليل,اشعة وتحاليل,اشعة وتحاليل,فرع,73شارع الحريه ميت غمر - اما مصنع الغزل والنسيج بميت غمر – الدقهلية,19173,01222504012اشعة,01200111937تحاليل ,,,,,,,اسعار خاصة,"خصم 20% على خدمات الأشعة غير شامل الصبغات 
خصم 30% على التحاليل الطبية 
خصم 10% على المسح الذرى على الجسم كلة وجرعات اليود المشع 
خصم 10% على الأشاعات التداخلية والمناظير",0.05,7/1/24,,محمد صبحى ,01273301055,,
No,Home care,Offline,1-1,مركز الطاهرة للأشعة,الجيزة,فيصل,مركز اشعة وتحاليل,اشعة وتحاليل,اشعة وتحاليل,فرع,111ش الملك فيصل - برج الخليج - ش المستشفى,19173,01222504012اشعة,01200111937تحاليل ,,,,,,,اسعار خاصة,"خصم 20% على خدمات الأشعة غير شامل الصبغات 
خصم 30% على التحاليل الطبية 
خصم 10% على المسح الذرى على الجسم كلة وجرعات اليود المشع 
خصم 10% على الأشاعات التداخلية والمناظير",0.05,7/1/24,,محمد صبحى ,01273301055,,
No,Home care,Offline,1-1,مركز الطاهرة للأشعة,الجيزة,حدائق الاهرام,مركز اشعة وتحاليل,اشعة وتحاليل,اشعة وتحاليل,فرع,20م يمين بوابة 3 - بوابة منقرع,19173,01222504012اشعة,01200111937تحاليل ,,,,,,,اسعار خاصة,"خصم 20% على خدمات الأشعة غير شامل الصبغات 
خصم 30% على التحاليل الطبية 
خصم 10% على المسح الذرى على الجسم كلة وجرعات اليود المشع 
خصم 10% على الأشاعات التداخلية والمناظير",0.05,7/1/24,,محمد صبحى ,01273301055,,
No,Home care,Offline,1,مركز الطاهرة للأشعة,القاهرة,السيدة زينب,مركز اشعة وتحاليل,اشعة وتحاليل,اشعة وتحاليل,المقر الرئيسى,251شارع بورسعيد السيدة زينب,19173,01222504012اشعة,01200111937تحاليل ,,,,,,,اسعار خاصة,"خصم 20% على خدمات الأشعة غير شامل الصبغات 
خصم 30% على التحاليل الطبية 
خصم 10% على المسح الذرى على الجسم كلة وجرعات اليود المشع 
خصم 10% على الأشاعات التداخلية والمناظير",0.05,7/1/24,,محمد صبحى ,01273301055,,
